,year,month,day,hours,counts,hours2,Wday,Wnight,Tday,Tnight,WDFday,WDFnight,avgT,week,isFestival,dayFestival,isWork,firstWork,lastWork
27,2014,8,2,17,2842,289,3,3,7,5,1,1,6.0,6,0,0,0,0,0
28,2014,8,2,18,2196,324,3,3,7,5,1,1,6.0,6,0,0,0,0,0
29,2014,8,2,19,1741,361,3,3,7,5,1,1,6.0,6,0,0,0,0,0
30,2014,8,2,20,2019,400,3,3,7,5,1,1,6.0,6,0,0,0,0,0
31,2014,8,2,21,1960,441,3,3,7,5,1,1,6.0,6,0,0,0,0,0
32,2014,8,3,6,1029,36,3,3,7,5,1,1,6.0,7,0,0,0,0,0
33,2014,8,3,7,2006,49,3,3,7,5,1,1,6.0,7,0,0,0,0,0
34,2014,8,3,8,2874,64,3,3,7,5,1,1,6.0,7,0,0,0,0,0
35,2014,8,3,9,3107,81,3,3,7,5,1,1,6.0,7,0,0,0,0,0
36,2014,8,3,10,2799,100,3,3,7,5,1,1,6.0,7,0,0,0,0,0
37,2014,8,3,11,2301,121,3,3,7,5,1,1,6.0,7,0,0,0,0,0
38,2014,8,3,12,1893,144,3,3,7,5,1,1,6.0,7,0,0,0,0,0
39,2014,8,3,13,2317,169,3,3,7,5,1,1,6.0,7,0,0,0,0,0
40,2014,8,3,14,2480,196,3,3,7,5,1,1,6.0,7,0,0,0,0,0
41,2014,8,3,15,2230,225,3,3,7,5,1,1,6.0,7,0,0,0,0,0
42,2014,8,3,16,2358,256,3,3,7,5,1,1,6.0,7,0,0,0,0,0
43,2014,8,3,17,2608,289,3,3,7,5,1,1,6.0,7,0,0,0,0,0
44,2014,8,3,18,2463,324,3,3,7,5,1,1,6.0,7,0,0,0,0,0
45,2014,8,3,19,2121,361,3,3,7,5,1,1,6.0,7,0,0,0,0,0
46,2014,8,3,20,2003,400,3,3,7,5,1,1,6.0,7,0,0,0,0,0
47,2014,8,3,21,1810,441,3,3,7,5,1,1,6.0,7,0,0,0,0,0
48,2014,8,4,6,1730,36,2,2,7,5,1,1,6.0,1,0,0,1,1,5
49,2014,8,4,7,4648,49,2,2,7,5,1,1,6.0,1,0,0,1,1,5
50,2014,8,4,8,5646,64,2,2,7,5,1,1,6.0,1,0,0,1,1,5
51,2014,8,4,9,3837,81,2,2,7,5,1,1,6.0,1,0,0,1,1,5
52,2014,8,4,10,2941,100,2,2,7,5,1,1,6.0,1,0,0,1,1,5
53,2014,8,4,11,2346,121,2,2,7,5,1,1,6.0,1,0,0,1,1,5
54,2014,8,4,12,1903,144,2,2,7,5,1,1,6.0,1,0,0,1,1,5
55,2014,8,4,13,1945,169,2,2,7,5,1,1,6.0,1,0,0,1,1,5
56,2014,8,4,14,2186,196,2,2,7,5,1,1,6.0,1,0,0,1,1,5
57,2014,8,4,15,2293,225,2,2,7,5,1,1,6.0,1,0,0,1,1,5
58,2014,8,4,16,2323,256,2,2,7,5,1,1,6.0,1,0,0,1,1,5
59,2014,8,4,17,3943,289,2,2,7,5,1,1,6.0,1,0,0,1,1,5
60,2014,8,4,18,4230,324,2,2,7,5,1,1,6.0,1,0,0,1,1,5
61,2014,8,4,19,2477,361,2,2,7,5,1,1,6.0,1,0,0,1,1,5
62,2014,8,4,20,1720,400,2,2,7,5,1,1,6.0,1,0,0,1,1,5
63,2014,8,4,21,1593,441,2,2,7,5,1,1,6.0,1,0,0,1,1,5
64,2014,8,5,6,1548,36,3,2,7,5,1,1,6.0,2,0,0,1,2,4
65,2014,8,5,7,4439,49,3,2,7,5,1,1,6.0,2,0,0,1,2,4
66,2014,8,5,8,5772,64,3,2,7,5,1,1,6.0,2,0,0,1,2,4
67,2014,8,5,9,3817,81,3,2,7,5,1,1,6.0,2,0,0,1,2,4
68,2014,8,5,10,2838,100,3,2,7,5,1,1,6.0,2,0,0,1,2,4
69,2014,8,5,11,2222,121,3,2,7,5,1,1,6.0,2,0,0,1,2,4
70,2014,8,5,12,1479,144,3,2,7,5,1,1,6.0,2,0,0,1,2,4
71,2014,8,5,13,2044,169,3,2,7,5,1,1,6.0,2,0,0,1,2,4
72,2014,8,5,14,2261,196,3,2,7,5,1,1,6.0,2,0,0,1,2,4
73,2014,8,5,15,2009,225,3,2,7,5,1,1,6.0,2,0,0,1,2,4
74,2014,8,5,16,2405,256,3,2,7,5,1,1,6.0,2,0,0,1,2,4
75,2014,8,5,17,3768,289,3,2,7,5,1,1,6.0,2,0,0,1,2,4
76,2014,8,5,18,4059,324,3,2,7,5,1,1,6.0,2,0,0,1,2,4
77,2014,8,5,19,2538,361,3,2,7,5,1,1,6.0,2,0,0,1,2,4
78,2014,8,5,20,1420,400,3,2,7,5,1,1,6.0,2,0,0,1,2,4
79,2014,8,5,21,1360,441,3,2,7,5,1,1,6.0,2,0,0,1,2,4
80,2014,8,6,6,1297,36,3,3,7,5,1,1,6.0,3,0,0,1,3,3
81,2014,8,6,7,4145,49,3,3,7,5,1,1,6.0,3,0,0,1,3,3
82,2014,8,6,8,5143,64,3,3,7,5,1,1,6.0,3,0,0,1,3,3
83,2014,8,6,9,3766,81,3,3,7,5,1,1,6.0,3,0,0,1,3,3
84,2014,8,6,10,2749,100,3,3,7,5,1,1,6.0,3,0,0,1,3,3
85,2014,8,6,11,2022,121,3,3,7,5,1,1,6.0,3,0,0,1,3,3
86,2014,8,6,12,1703,144,3,3,7,5,1,1,6.0,3,0,0,1,3,3
87,2014,8,6,13,1966,169,3,3,7,5,1,1,6.0,3,0,0,1,3,3
88,2014,8,6,14,2145,196,3,3,7,5,1,1,6.0,3,0,0,1,3,3
89,2014,8,6,15,2098,225,3,3,7,5,1,1,6.0,3,0,0,1,3,3
90,2014,8,6,16,2281,256,3,3,7,5,1,1,6.0,3,0,0,1,3,3
91,2014,8,6,17,3494,289,3,3,7,5,1,1,6.0,3,0,0,1,3,3
92,2014,8,6,18,3841,324,3,3,7,5,1,1,6.0,3,0,0,1,3,3
93,2014,8,6,19,2356,361,3,3,7,5,1,1,6.0,3,0,0,1,3,3
94,2014,8,6,20,1438,400,3,3,7,5,1,1,6.0,3,0,0,1,3,3
95,2014,8,6,21,1282,441,3,3,7,5,1,1,6.0,3,0,0,1,3,3
96,2014,8,7,6,1373,36,3,3,6,5,1,1,5.5,4,0,0,1,4,2
97,2014,8,7,7,3986,49,3,3,6,5,1,1,5.5,4,0,0,1,4,2
98,2014,8,7,8,4977,64,3,3,6,5,1,1,5.5,4,0,0,1,4,2
99,2014,8,7,9,3705,81,3,3,6,5,1,1,5.5,4,0,0,1,4,2
100,2014,8,7,10,2874,100,3,3,6,5,1,1,5.5,4,0,0,1,4,2
101,2014,8,7,11,1882,121,3,3,6,5,1,1,5.5,4,0,0,1,4,2
102,2014,8,7,12,1731,144,3,3,6,5,1,1,5.5,4,0,0,1,4,2
103,2014,8,7,13,1827,169,3,3,6,5,1,1,5.5,4,0,0,1,4,2
104,2014,8,7,14,1477,196,3,3,6,5,1,1,5.5,4,0,0,1,4,2
105,2014,8,7,15,1987,225,3,3,6,5,1,1,5.5,4,0,0,1,4,2
106,2014,8,7,16,2170,256,3,3,6,5,1,1,5.5,4,0,0,1,4,2
107,2014,8,7,17,3417,289,3,3,6,5,1,1,5.5,4,0,0,1,4,2
108,2014,8,7,18,3725,324,3,3,6,5,1,1,5.5,4,0,0,1,4,2
109,2014,8,7,19,2002,361,3,3,6,5,1,1,5.5,4,0,0,1,4,2
110,2014,8,7,20,1577,400,3,3,6,5,1,1,5.5,4,0,0,1,4,2
111,2014,8,7,21,1419,441,3,3,6,5,1,1,5.5,4,0,0,1,4,2
112,2014,8,8,6,1576,36,3,3,7,5,1,1,6.0,5,0,0,1,5,1
113,2014,8,8,7,4513,49,3,3,7,5,1,1,6.0,5,0,0,1,5,1
114,2014,8,8,8,5096,64,3,3,7,5,1,1,6.0,5,0,0,1,5,1
115,2014,8,8,9,3750,81,3,3,7,5,1,1,6.0,5,0,0,1,5,1
116,2014,8,8,10,3023,100,3,3,7,5,1,1,6.0,5,0,0,1,5,1
117,2014,8,8,11,2316,121,3,3,7,5,1,1,6.0,5,0,0,1,5,1
118,2014,8,8,12,1920,144,3,3,7,5,1,1,6.0,5,0,0,1,5,1
119,2014,8,8,13,2329,169,3,3,7,5,1,1,6.0,5,0,0,1,5,1
120,2014,8,8,14,2310,196,3,3,7,5,1,1,6.0,5,0,0,1,5,1
121,2014,8,8,15,2189,225,3,3,7,5,1,1,6.0,5,0,0,1,5,1
122,2014,8,8,16,2569,256,3,3,7,5,1,1,6.0,5,0,0,1,5,1
123,2014,8,8,17,3629,289,3,3,7,5,1,1,6.0,5,0,0,1,5,1
124,2014,8,8,18,3963,324,3,3,7,5,1,1,6.0,5,0,0,1,5,1
125,2014,8,8,19,2588,361,3,3,7,5,1,1,6.0,5,0,0,1,5,1
126,2014,8,8,20,1911,400,3,3,7,5,1,1,6.0,5,0,0,1,5,1
127,2014,8,8,21,1758,441,3,3,7,5,1,1,6.0,5,0,0,1,5,1
128,2014,8,9,6,1156,36,3,3,7,5,1,1,6.0,6,0,0,0,0,0
129,2014,8,9,7,2504,49,3,3,7,5,1,1,6.0,6,0,0,0,0,0
130,2014,8,9,8,3688,64,3,3,7,5,1,1,6.0,6,0,0,0,0,0
131,2014,8,9,9,3419,81,3,3,7,5,1,1,6.0,6,0,0,0,0,0
132,2014,8,9,10,2837,100,3,3,7,5,1,1,6.0,6,0,0,0,0,0
133,2014,8,9,11,2287,121,3,3,7,5,1,1,6.0,6,0,0,0,0,0
134,2014,8,9,12,2187,144,3,3,7,5,1,1,6.0,6,0,0,0,0,0
135,2014,8,9,13,2283,169,3,3,7,5,1,1,6.0,6,0,0,0,0,0
136,2014,8,9,14,2232,196,3,3,7,5,1,1,6.0,6,0,0,0,0,0
137,2014,8,9,15,1856,225,3,3,7,5,1,1,6.0,6,0,0,0,0,0
138,2014,8,9,16,2042,256,3,3,7,5,1,1,6.0,6,0,0,0,0,0
139,2014,8,9,17,2805,289,3,3,7,5,1,1,6.0,6,0,0,0,0,0
140,2014,8,9,18,2872,324,3,3,7,5,1,1,6.0,6,0,0,0,0,0
141,2014,8,9,19,1993,361,3,3,7,5,1,1,6.0,6,0,0,0,0,0
142,2014,8,9,20,1451,400,3,3,7,5,1,1,6.0,6,0,0,0,0,0
143,2014,8,9,21,1256,441,3,3,7,5,1,1,6.0,6,0,0,0,0,0
144,2014,8,10,6,1026,36,3,3,6,5,1,1,5.5,7,0,0,0,0,0
145,2014,8,10,7,2141,49,3,3,6,5,1,1,5.5,7,0,0,0,0,0
146,2014,8,10,8,2907,64,3,3,6,5,1,1,5.5,7,0,0,0,0,0
147,2014,8,10,9,3362,81,3,3,6,5,1,1,5.5,7,0,0,0,0,0
148,2014,8,10,10,2948,100,3,3,6,5,1,1,5.5,7,0,0,0,0,0
149,2014,8,10,11,2597,121,3,3,6,5,1,1,5.5,7,0,0,0,0,0
150,2014,8,10,12,2046,144,3,3,6,5,1,1,5.5,7,0,0,0,0,0
151,2014,8,10,13,2472,169,3,3,6,5,1,1,5.5,7,0,0,0,0,0
152,2014,8,10,14,2461,196,3,3,6,5,1,1,5.5,7,0,0,0,0,0
153,2014,8,10,15,2332,225,3,3,6,5,1,1,5.5,7,0,0,0,0,0
154,2014,8,10,16,2524,256,3,3,6,5,1,1,5.5,7,0,0,0,0,0
155,2014,8,10,17,2718,289,3,3,6,5,1,1,5.5,7,0,0,0,0,0
156,2014,8,10,18,2100,324,3,3,6,5,1,1,5.5,7,0,0,0,0,0
157,2014,8,10,19,2060,361,3,3,6,5,1,1,5.5,7,0,0,0,0,0
158,2014,8,10,20,1664,400,3,3,6,5,1,1,5.5,7,0,0,0,0,0
159,2014,8,10,21,1431,441,3,3,6,5,1,1,5.5,7,0,0,0,0,0
160,2014,8,13,19,1,361,4,4,6,5,1,1,5.5,3,0,0,1,3,3
161,2014,8,13,21,4,441,4,4,6,5,1,1,5.5,3,0,0,1,3,3
162,2014,8,14,6,1500,36,4,3,6,5,1,1,5.5,4,0,0,1,4,2
163,2014,8,14,7,4137,49,4,3,6,5,1,1,5.5,4,0,0,1,4,2
164,2014,8,14,8,5576,64,4,3,6,5,1,1,5.5,4,0,0,1,4,2
165,2014,8,14,9,3797,81,4,3,6,5,1,1,5.5,4,0,0,1,4,2
166,2014,8,14,10,2944,100,4,3,6,5,1,1,5.5,4,0,0,1,4,2
167,2014,8,14,11,2613,121,4,3,6,5,1,1,5.5,4,0,0,1,4,2
168,2014,8,14,12,1704,144,4,3,6,5,1,1,5.5,4,0,0,1,4,2
169,2014,8,14,13,2176,169,4,3,6,5,1,1,5.5,4,0,0,1,4,2
170,2014,8,14,14,2410,196,4,3,6,5,1,1,5.5,4,0,0,1,4,2
171,2014,8,14,15,2425,225,4,3,6,5,1,1,5.5,4,0,0,1,4,2
172,2014,8,14,16,2819,256,4,3,6,5,1,1,5.5,4,0,0,1,4,2
173,2014,8,14,17,3723,289,4,3,6,5,1,1,5.5,4,0,0,1,4,2
174,2014,8,14,18,4505,324,4,3,6,5,1,1,5.5,4,0,0,1,4,2
175,2014,8,14,19,2469,361,4,3,6,5,1,1,5.5,4,0,0,1,4,2
176,2014,8,14,20,1817,400,4,3,6,5,1,1,5.5,4,0,0,1,4,2
177,2014,8,14,21,1669,441,4,3,6,5,1,1,5.5,4,0,0,1,4,2
178,2014,8,15,6,161,36,2,2,6,5,1,1,5.5,5,0,0,1,5,1
179,2014,8,15,7,171,49,2,2,6,5,1,1,5.5,5,0,0,1,5,1
180,2014,8,15,8,376,64,2,2,6,5,1,1,5.5,5,0,0,1,5,1
181,2014,8,15,9,195,81,2,2,6,5,1,1,5.5,5,0,0,1,5,1
182,2014,8,15,10,110,100,2,2,6,5,1,1,5.5,5,0,0,1,5,1
183,2014,8,15,11,87,121,2,2,6,5,1,1,5.5,5,0,0,1,5,1
184,2014,8,15,12,83,144,2,2,6,5,1,1,5.5,5,0,0,1,5,1
185,2014,8,15,13,80,169,2,2,6,5,1,1,5.5,5,0,0,1,5,1
186,2014,8,15,14,47,196,2,2,6,5,1,1,5.5,5,0,0,1,5,1
187,2014,8,15,15,69,225,2,2,6,5,1,1,5.5,5,0,0,1,5,1
188,2014,8,15,16,39,256,2,2,6,5,1,1,5.5,5,0,0,1,5,1
189,2014,8,15,17,103,289,2,2,6,5,1,1,5.5,5,0,0,1,5,1
190,2014,8,15,18,127,324,2,2,6,5,1,1,5.5,5,0,0,1,5,1
191,2014,8,15,19,90,361,2,2,6,5,1,1,5.5,5,0,0,1,5,1
192,2014,8,15,20,59,400,2,2,6,5,1,1,5.5,5,0,0,1,5,1
193,2014,8,15,21,92,441,2,2,6,5,1,1,5.5,5,0,0,1,5,1
194,2014,8,16,6,1308,36,2,2,7,5,1,1,6.0,6,0,0,0,0,0
195,2014,8,16,7,2957,49,2,2,7,5,1,1,6.0,6,0,0,0,0,0
196,2014,8,16,8,4090,64,2,2,7,5,1,1,6.0,6,0,0,0,0,0
197,2014,8,16,9,3761,81,2,2,7,5,1,1,6.0,6,0,0,0,0,0
198,2014,8,16,10,3197,100,2,2,7,5,1,1,6.0,6,0,0,0,0,0
199,2014,8,16,11,2614,121,2,2,7,5,1,1,6.0,6,0,0,0,0,0
200,2014,8,16,12,2190,144,2,2,7,5,1,1,6.0,6,0,0,0,0,0
201,2014,8,16,13,2666,169,2,2,7,5,1,1,6.0,6,0,0,0,0,0
202,2014,8,16,14,2680,196,2,2,7,5,1,1,6.0,6,0,0,0,0,0
203,2014,8,16,15,2510,225,2,2,7,5,1,1,6.0,6,0,0,0,0,0
204,2014,8,16,16,2471,256,2,2,7,5,1,1,6.0,6,0,0,0,0,0
205,2014,8,16,17,2858,289,2,2,7,5,1,1,6.0,6,0,0,0,0,0
206,2014,8,16,18,2941,324,2,2,7,5,1,1,6.0,6,0,0,0,0,0
207,2014,8,16,19,2052,361,2,2,7,5,1,1,6.0,6,0,0,0,0,0
208,2014,8,16,20,1898,400,2,2,7,5,1,1,6.0,6,0,0,0,0,0
209,2014,8,16,21,1782,441,2,2,7,5,1,1,6.0,6,0,0,0,0,0
210,2014,8,17,6,1054,36,2,2,7,5,1,1,6.0,7,0,0,0,0,0
211,2014,8,17,7,2214,49,2,2,7,5,1,1,6.0,7,0,0,0,0,0
212,2014,8,17,8,3314,64,2,2,7,5,1,1,6.0,7,0,0,0,0,0
213,2014,8,17,9,3381,81,2,2,7,5,1,1,6.0,7,0,0,0,0,0
214,2014,8,17,10,2877,100,2,2,7,5,1,1,6.0,7,0,0,0,0,0
215,2014,8,17,11,2565,121,2,2,7,5,1,1,6.0,7,0,0,0,0,0
216,2014,8,17,12,2087,144,2,2,7,5,1,1,6.0,7,0,0,0,0,0
217,2014,8,17,13,2622,169,2,2,7,5,1,1,6.0,7,0,0,0,0,0
218,2014,8,17,14,2759,196,2,2,7,5,1,1,6.0,7,0,0,0,0,0
219,2014,8,17,15,2409,225,2,2,7,5,1,1,6.0,7,0,0,0,0,0
220,2014,8,17,16,2496,256,2,2,7,5,1,1,6.0,7,0,0,0,0,0
221,2014,8,17,17,2901,289,2,2,7,5,1,1,6.0,7,0,0,0,0,0
222,2014,8,17,18,2649,324,2,2,7,5,1,1,6.0,7,0,0,0,0,0
223,2014,8,17,19,2283,361,2,2,7,5,1,1,6.0,7,0,0,0,0,0
224,2014,8,17,20,2149,400,2,2,7,5,1,1,6.0,7,0,0,0,0,0
225,2014,8,17,21,1677,441,2,2,7,5,1,1,6.0,7,0,0,0,0,0
226,2014,8,18,7,39,49,2,3,7,5,1,1,6.0,1,0,0,1,1,5
227,2014,8,18,21,25,441,2,3,7,5,1,1,6.0,1,0,0,1,1,5
228,2014,8,19,6,1764,36,4,4,6,5,1,1,5.5,2,0,0,1,2,4
229,2014,8,19,7,4484,49,4,4,6,5,1,1,5.5,2,0,0,1,2,4
230,2014,8,19,8,5686,64,4,4,6,5,1,1,5.5,2,0,0,1,2,4
231,2014,8,19,9,4050,81,4,4,6,5,1,1,5.5,2,0,0,1,2,4
232,2014,8,19,10,2862,100,4,4,6,5,1,1,5.5,2,0,0,1,2,4
233,2014,8,19,11,2295,121,4,4,6,5,1,1,5.5,2,0,0,1,2,4
234,2014,8,19,12,1875,144,4,4,6,5,1,1,5.5,2,0,0,1,2,4
235,2014,8,19,13,1710,169,4,4,6,5,1,1,5.5,2,0,0,1,2,4
236,2014,8,19,14,1756,196,4,4,6,5,1,1,5.5,2,0,0,1,2,4
237,2014,8,19,15,2299,225,4,4,6,5,1,1,5.5,2,0,0,1,2,4
238,2014,8,19,16,2452,256,4,4,6,5,1,1,5.5,2,0,0,1,2,4
239,2014,8,19,17,2832,289,4,4,6,5,1,1,5.5,2,0,0,1,2,4
240,2014,8,19,18,3849,324,4,4,6,5,1,1,5.5,2,0,0,1,2,4
241,2014,8,19,19,2172,361,4,4,6,5,1,1,5.5,2,0,0,1,2,4
242,2014,8,19,20,1896,400,4,4,6,5,1,1,5.5,2,0,0,1,2,4
243,2014,8,19,21,1796,441,4,4,6,5,1,1,5.5,2,0,0,1,2,4
244,2014,8,20,6,1303,36,4,3,6,5,1,1,5.5,3,0,0,1,3,3
245,2014,8,20,7,3110,49,4,3,6,5,1,1,5.5,3,0,0,1,3,3
246,2014,8,20,8,4422,64,4,3,6,5,1,1,5.5,3,0,0,1,3,3
247,2014,8,20,9,3143,81,4,3,6,5,1,1,5.5,3,0,0,1,3,3
248,2014,8,20,10,1977,100,4,3,6,5,1,1,5.5,3,0,0,1,3,3
249,2014,8,20,11,1663,121,4,3,6,5,1,1,5.5,3,0,0,1,3,3
250,2014,8,20,12,1145,144,4,3,6,5,1,1,5.5,3,0,0,1,3,3
251,2014,8,20,13,1703,169,4,3,6,5,1,1,5.5,3,0,0,1,3,3
252,2014,8,20,14,1558,196,4,3,6,5,1,1,5.5,3,0,0,1,3,3
253,2014,8,20,15,1709,225,4,3,6,5,1,1,5.5,3,0,0,1,3,3
254,2014,8,20,16,1866,256,4,3,6,5,1,1,5.5,3,0,0,1,3,3
255,2014,8,20,17,3019,289,4,3,6,5,1,1,5.5,3,0,0,1,3,3
256,2014,8,20,18,3100,324,4,3,6,5,1,1,5.5,3,0,0,1,3,3
257,2014,8,20,19,1876,361,4,3,6,5,1,1,5.5,3,0,0,1,3,3
258,2014,8,20,20,1421,400,4,3,6,5,1,1,5.5,3,0,0,1,3,3
259,2014,8,20,21,1212,441,4,3,6,5,1,1,5.5,3,0,0,1,3,3
260,2014,8,21,6,1495,36,3,3,6,5,1,1,5.5,4,0,0,1,4,2
261,2014,8,21,7,3572,49,3,3,6,5,1,1,5.5,4,0,0,1,4,2
262,2014,8,21,8,5226,64,3,3,6,5,1,1,5.5,4,0,0,1,4,2
263,2014,8,21,9,3826,81,3,3,6,5,1,1,5.5,4,0,0,1,4,2
264,2014,8,21,10,2973,100,3,3,6,5,1,1,5.5,4,0,0,1,4,2
265,2014,8,21,11,2013,121,3,3,6,5,1,1,5.5,4,0,0,1,4,2
266,2014,8,21,12,1868,144,3,3,6,5,1,1,5.5,4,0,0,1,4,2
267,2014,8,21,13,2113,169,3,3,6,5,1,1,5.5,4,0,0,1,4,2
268,2014,8,21,14,2204,196,3,3,6,5,1,1,5.5,4,0,0,1,4,2
269,2014,8,21,15,2138,225,3,3,6,5,1,1,5.5,4,0,0,1,4,2
270,2014,8,21,16,2536,256,3,3,6,5,1,1,5.5,4,0,0,1,4,2
271,2014,8,21,17,3926,289,3,3,6,5,1,1,5.5,4,0,0,1,4,2
272,2014,8,21,18,3403,324,3,3,6,5,1,1,5.5,4,0,0,1,4,2
273,2014,8,21,19,2337,361,3,3,6,5,1,1,5.5,4,0,0,1,4,2
274,2014,8,21,20,1433,400,3,3,6,5,1,1,5.5,4,0,0,1,4,2
275,2014,8,21,21,1512,441,3,3,6,5,1,1,5.5,4,0,0,1,4,2
276,2014,8,22,6,1827,36,2,2,6,5,1,1,5.5,5,0,0,1,5,1
277,2014,8,22,7,4388,49,2,2,6,5,1,1,5.5,5,0,0,1,5,1
278,2014,8,22,8,5583,64,2,2,6,5,1,1,5.5,5,0,0,1,5,1
279,2014,8,22,9,3635,81,2,2,6,5,1,1,5.5,5,0,0,1,5,1
280,2014,8,22,10,3015,100,2,2,6,5,1,1,5.5,5,0,0,1,5,1
281,2014,8,22,11,2268,121,2,2,6,5,1,1,5.5,5,0,0,1,5,1
282,2014,8,22,12,1922,144,2,2,6,5,1,1,5.5,5,0,0,1,5,1
283,2014,8,22,13,2201,169,2,2,6,5,1,1,5.5,5,0,0,1,5,1
284,2014,8,22,14,2262,196,2,2,6,5,1,1,5.5,5,0,0,1,5,1
285,2014,8,22,15,2246,225,2,2,6,5,1,1,5.5,5,0,0,1,5,1
286,2014,8,22,16,2007,256,2,2,6,5,1,1,5.5,5,0,0,1,5,1
287,2014,8,22,17,3592,289,2,2,6,5,1,1,5.5,5,0,0,1,5,1
288,2014,8,22,18,3498,324,2,2,6,5,1,1,5.5,5,0,0,1,5,1
289,2014,8,22,19,2296,361,2,2,6,5,1,1,5.5,5,0,0,1,5,1
290,2014,8,22,20,1960,400,2,2,6,5,1,1,5.5,5,0,0,1,5,1
291,2014,8,22,21,1745,441,2,2,6,5,1,1,5.5,5,0,0,1,5,1
292,2014,8,23,6,1183,36,2,2,6,5,1,1,5.5,6,0,0,0,0,0
293,2014,8,23,7,2875,49,2,2,6,5,1,1,5.5,6,0,0,0,0,0
294,2014,8,23,8,3736,64,2,2,6,5,1,1,5.5,6,0,0,0,0,0
295,2014,8,23,9,3376,81,2,2,6,5,1,1,5.5,6,0,0,0,0,0
296,2014,8,23,10,2962,100,2,2,6,5,1,1,5.5,6,0,0,0,0,0
297,2014,8,23,11,2480,121,2,2,6,5,1,1,5.5,6,0,0,0,0,0
298,2014,8,23,12,1904,144,2,2,6,5,1,1,5.5,6,0,0,0,0,0
299,2014,8,23,13,2539,169,2,2,6,5,1,1,5.5,6,0,0,0,0,0
300,2014,8,23,14,2571,196,2,2,6,5,1,1,5.5,6,0,0,0,0,0
301,2014,8,23,15,2401,225,2,2,6,5,1,1,5.5,6,0,0,0,0,0
302,2014,8,23,16,2453,256,2,2,6,5,1,1,5.5,6,0,0,0,0,0
303,2014,8,23,17,2887,289,2,2,6,5,1,1,5.5,6,0,0,0,0,0
304,2014,8,23,18,2913,324,2,2,6,5,1,1,5.5,6,0,0,0,0,0
305,2014,8,23,19,1918,361,2,2,6,5,1,1,5.5,6,0,0,0,0,0
306,2014,8,23,20,1857,400,2,2,6,5,1,1,5.5,6,0,0,0,0,0
307,2014,8,23,21,1638,441,2,2,6,5,1,1,5.5,6,0,0,0,0,0
308,2014,8,24,6,1248,36,2,1,7,5,1,1,6.0,7,0,0,0,0,0
309,2014,8,24,7,2346,49,2,1,7,5,1,1,6.0,7,0,0,0,0,0
310,2014,8,24,8,3302,64,2,1,7,5,1,1,6.0,7,0,0,0,0,0
311,2014,8,24,9,3525,81,2,1,7,5,1,1,6.0,7,0,0,0,0,0
312,2014,8,24,10,3431,100,2,1,7,5,1,1,6.0,7,0,0,0,0,0
313,2014,8,24,11,2792,121,2,1,7,5,1,1,6.0,7,0,0,0,0,0
314,2014,8,24,12,2086,144,2,1,7,5,1,1,6.0,7,0,0,0,0,0
